sample_id,result_dir,mask_ratio,method,layer,n,rmse,mae,cos,pearson_r
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,5629381,0.04289374712975393,0.0037725639518330907,0.7422964856410796,0.7406651810656097
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,all_holdout,5992262,0.04342240883901969,0.0028362878704500283,0.6361815691873254,0.6351439559653317
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,all_holdout,5521560,0.04073245943101137,0.002513768825771371,0.6588528358954511,0.6580107122311131
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,all_holdout,6540251,0.044456935991856524,0.0030096981316659927,0.6208005419623943,0.6196243952098115
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,all_holdout,6234353,0.04226833186831647,0.0027543776579042442,0.6501867706174954,0.6491950440708438
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,6532881,0.043726611226983174,0.0030730253977420134,0.7351677388421374,0.7340633602569844
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,4847211,0.03949260792806388,0.002611899759294634,0.7830460599101658,0.7821812841275367
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,8501281,0.04761197539751848,0.0033061677019877414,0.696137149870915,0.6949594585237625
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,6091389,0.04218879031720167,0.0028962533285409936,0.7501033523124734,0.7490918068598711
151673,seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,6053512,0.04165717017641059,0.002838880007673719,0.671018366998112,0.6698664484507063
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,12791022,0.04625892358848238,0.003261596706560454,0.5847421385690192,0.5832446680964712
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,4769830,0.037137880834669186,0.002442503635047769,0.7186438867313264,0.7177583963914428
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,all_holdout,5629381,0.04136646728870643,0.002985859443560718,0.6861852921394026,0.6849620515334327
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,all_holdout,5992262,0.042891068667644444,0.0027886946888616517,0.6474195214425978,0.6463905723579931
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,all_holdout,5521560,0.04018655783290305,0.002469540040326725,0.6701768624723584,0.6693402017874774
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,all_holdout,6540251,0.04393827612144823,0.0029584439602157488,0.6321656460273267,0.6309945665800597
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,all_holdout,6234353,0.04176467497283247,0.0027107464322297646,0.660587035071407,0.6596024324307544
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,6532881,0.04283350093246784,0.0029921524859812107,0.7476785374403738,0.7466005285887041
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,4847211,0.03861158161310756,0.0025404385248380046,0.7938468084329755,0.7930089469903766
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,8501281,0.046868613945700785,0.003234353998753853,0.707494485758916,0.7063314050852886
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,6091389,0.04144165733455314,0.002831124413374089,0.7602601861359842,0.7592664201791726
151673,seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,6053512,0.04096124847039947,0.002780953879632995,0.6843988210950043,0.6832632982200257
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,12791022,0.04574864908399112,0.0032108623730043064,0.5968406446881453,0.5953538799343283
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,4769830,0.036519247272101193,0.0023963238996961823,0.7296126115848557,0.7287400338572889
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,all_holdout,5629381,0.04077401430143084,0.002934007144786912,0.6969585443246885,0.6957508229117828
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,gt_positive,290775,0.08964373705784787,0.02856349216198028,0.9375441600923131,0.9302777964441415
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,gt_positive,248539,0.08535532810610622,0.027977311495740086,0.9455551782560896,0.9403115697441295
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,gt_positive,275983,0.09690371126808772,0.032630486180259176,0.9373703683770688,0.9288035342899439
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,gt_positive,264068,0.08845769210061569,0.031657639847844275,0.9478184243683129,0.9413082668917282
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,379565,0.08187400585175479,0.026744530076869867,0.9526678733164854,0.9467902587248849
